# Array_Size Bubble_Sort Selection_Sort Insertion_Sort Merge_Sort Quick_Sort
1000 0.004000 0.002000 0.001000 0.000000 0.001000 
2000 0.014000 0.007000 0.004000 0.000000 0.000000 
3000 0.030000 0.016000 0.011000 0.001000 0.000000 
4000 0.055000 0.032000 0.018000 0.000000 0.001000 
5000 0.086000 0.044000 0.025000 0.001000 0.001000 
6000 0.143000 0.074000 0.038000 0.002000 0.001000 
7000 0.198000 0.091000 0.051000 0.001000 0.001000 
8000 0.248000 0.117000 0.068000 0.002000 0.001000 
9000 0.314000 0.150000 0.081000 0.002000 0.002000 
10000 0.368000 0.180000 0.100000 0.003000 0.001000 
